ID,SEXO,IDADE,INSTX,REGIAO,UF,REG,COND,PORTE,F01,F02_IDADE,F02_FAIXA,F02_FX,F03,ALFAB,INST,P1_1_1,P1_1_0,P1_1_4,P1_1_2,P1_2_1_1,P1_2_1_2,P1_2_2,P1_1_6,P1_1_5,P1_2_3,P1_2_4,P2_2_2_1,P2_2_2_2,P2_2_2_3,P1_1_7_1,P1_1_7_2,P1_1_7_3,P1_1_7_4,P1_1_7_5,P1_1_7_6,P1_1_7_7,P2_1_0,P2_1_1,P2_1_6,P2_1_4_1,P2_1_4_2,P2_1_4_3,P2_1_3,P2_1_2_1,P2_1_2_2,P2_1_2_3,P2_1_2_4,P2_1_2_5,P2_2_3_1,P2_2_3_2,P2_2_3_3,RAÇA,RELIGIAO,P2_1_9,INTERNET,INTERNET1_1,INTERNET1_2,INTERNET1_3,INTERNET1_4,INTERNET1_5,INTERNET1_6,INTERNET2_1,INTERNET2_2,P2_1_8_1,P2_1_8_2,P2_1_8_3,P2_1_8_4,P2_1_8_5,P2_1_8_6,P2_1_8_7,P2_1_8_8,C2,C3,C4,CLASSE,FATOR_POND
10495,1,6,4,3,26,3,3,7,1,58,6,6,SOROCABA - SP,1,15,3,1,2,2, ,5,2,3,2,3,9,2,3,1,1,2,2,2,1,1,1,1,1,3, , , ,2,1,2,1,3,2,3,1,2,3,9,3,1,2,1,2,1,2,1,1,1,1,2,1,1,1,1,2,1,1,1,4,4,"1,85986"
10723,1,4,4,1,14,1,2,6,1,39,4,4,ANANINDEUA - PA,1,15,3,3,1,1,1, ,1,2,2,1,5,3,1,2,2,2,2,2,1,1,2,2,1,2,3,8,2,2,1,1,1,3,3,3,1,2,1,9,4,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,2,4,3,"0,65716"
10762,2,6,1,3,26,3,3,2,2,55,6,6,SANTO ANTÔNIO DO JARDIM - SP,1,5,5,5,1,3, ,4,3,4,1,1,4,2,4,3,1,1,2,2,2,2,2,1,1,2,8,1,7,1,3,1,3,3,1,3,1,2,2,1,1,1,2,2,2,1,2,1,2,2,1,1,2,2,2,2,2,1,1,1,2,5,"0,90528"
10808,2,4,4,3,26,3,3,7,2,37,4,4,SOROCABA - SP,1,16,1,2,1,1,1, ,1,1,1,1,4,3,1,2,1,2,1,1,1,1,1,1,1,2,2,3,1,1,1,1,1,1,3,3,1,2,3,10,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,5,1,"0,33250"
10861,1,3,4,2,15,2,3,4,1,34,3,3,SOLÂNEA - PB,1,16,2,2,1,1,1, ,1,1,1,1,6,2,3,1,1,2,2,1,1,1,1,1,1,2,6,1,2,1,1,1,1,1,3,3,1,4,3,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,"0,34082"
11052,2,4,1,4,18,4,3,4,2,40,4,4,IBIPORÃ - PR,1,3,3,4,1,1,1, ,1,1,1,1,1,1,3,2,2,2,1,2,2,2,2,1,1,2,1,8,7,1,1,1,1,1,1,3,4,2,3,1,3,1,2,2,2,1,2,2,1,2,1,1,1,2,1,1,2,1,2,2,3,6,"1,32074"
11417,2,6,3,3,8,3,3,5,2,57,6,6,ARACRUZ - ES,1,14,1,2,1,1,1, ,2,1,1,1,9,3,2,4,1,2,1,2,2,2,1,3,1,2,6,3,2,1,1,1,1,1,3,3,2,1,1,3,1,1,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,2,4,2,"0,56698"
11460,1,3,4,4,24,4,3,6,1,32,3,3,OUTRA CIDADE E ESTADO (ESPECIFIQUE),1,16,2,3,1,1,1, ,4,1,1,2,7,3,1,2,1,2,2,2,2,2,1,1,1,1, , , ,2,3,3,3,3,2,3,1,4,1,1,3,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,1,1,1,5,1,"0,55914"
11601,1,6,3,1,14,1,3,6,1,67,6,6,CASTANHAL - PA,1,14,2,1,1,2, ,1,1,1,2,1,2,1,3,2,2,2,2,2,2,2,2,2,1,2,2,3,1,1,1,1,1,1,3,3,1,2,1,1,3,1,2,2,2,1,2,1,1,1,2,2,1,1,1,1,1,1,2,1,4,3,"0,32365"
11692,2,6,3,4,24,4,3,6,2,63,6,6,CHAPECÓ - SC,1,13,1,1,1,1,1, ,1,1,1,1,5,1,2,4,1,2,2,2,2,2,1,1,1,2,6,7,3,1,1,1,1,1,1,5, , ,1,1,3,1,2,2,2,1,2,1,1,1,1,2,2,1,2,1,2,1,1,1,4,5,"1,16038"
11744,2,3,2,2,20,2,3,1,2,28,3,3,SÃO FRANCISCO DO OESTE - RN,1,9,1,2,1,1,2, ,2,2,4,2,3,1,2,4,1,2,2,2,1,2,1,1,1,2,6,8,3,1,1,1,1,1,3,3,1,2,2,2,3,1,2,2,2,1,2,2,2,1,1,1,1,1,1,1,2,1,1,2,2,5,"0,83031"
11802,2,5,3,4,23,4,3,4,2,54,5,5,CAPÃO DA CANOA - RS,1,12,2,1,1,1,1, ,1,1,1,1,5,1,2,3,2,2,1,2,2,2,1,1,1,2,3,7,8,1,1,1,1,1,1,2,1,4,1,1,5,1,2,2,2,1,2,2,2,1,1,1,1,1,2,1,1,1,1,2,4,5,"1,22244"
11843,2,5,4,2,2,2,3,4,2,51,5,5,MARECHAL DEODORO - AL,1,16,1,1,1,1,3, ,2,1,1,1,4,2,3,1,1,2,1,2,2,2,1,2,1,3, , , ,1,1,1,1,1,1,2,3,1,3,7,3,1,2,1,1,1,2,1,1,1,1,2,1,1,2,1,1,1,2,2,5,2,"0,46687"
